n,tp_rate_pct,sl_rate_pct,time_rate_pct,win_rate_pct,avg_net_pct,expectancy_pct,median_net_pct,avg_gross_pct,avg_mae_pct,avg_mfe_pct,worst_mae_pct,best_mfe_pct,avg_hold_bars,avg_time_to_tp,avg_time_to_sl,sharpe_per_trade,combo,mode,tp,sl,scope,bucket
355606,8.07,5.43,86.5,46.49,0.076,0.076,-0.3,0.376,-4.094,4.729,-98.2,169.41,4.78,3.57,3.07,0.013,TP3xATR/SL3xATR,atr,3.0,3.0,Full,"[0.55, 0.60)"
203838,8.45,5.91,85.64,48.99,0.37,0.37,-0.11,0.67,-3.949,4.834,-98.17,187.8,4.76,3.62,2.83,0.063,TP3xATR/SL3xATR,atr,3.0,3.0,Full,"[0.60, 0.65)"
66999,8.95,6.22,84.84,53.18,1.098,1.098,0.398,1.398,-4.282,5.981,-72.69,995.48,4.73,3.65,2.53,0.161,TP3xATR/SL3xATR,atr,3.0,3.0,Full,"[0.65, 0.70)"
8054,16.08,5.43,78.5,64.07,3.626,3.626,2.837,3.926,-4.409,8.968,-43.95,142.45,4.68,3.8,2.65,0.419,TP3xATR/SL3xATR,atr,3.0,3.0,Full,"[0.70, 0.75)"
796,42.59,13.44,43.97,59.55,4.362,4.362,5.521,4.662,-3.217,8.484,-22.12,47.06,4.29,3.94,3.07,0.499,TP3xATR/SL3xATR,atr,3.0,3.0,Full,"[0.75, 0.80)"
7708,6.19,5.16,88.65,32.54,-1.38,-1.38,-1.822,-1.08,-5.058,4.185,-28.29,40.78,4.82,3.29,3.57,-0.233,TP3xATR/SL3xATR,atr,3.0,3.0,OOS,"[0.30, 0.35)"
15462,6.22,4.96,88.82,35.53,-1.085,-1.085,-1.435,-0.785,-4.691,4.163,-35.25,40.57,4.82,3.32,3.5,-0.19,TP3xATR/SL3xATR,atr,3.0,3.0,OOS,"[0.35, 0.40)"
21296,6.33,4.94,88.73,37.01,-0.839,-0.839,-1.242,-0.539,-4.393,4.104,-33.87,38.86,4.82,3.39,3.41,-0.152,TP3xATR/SL3xATR,atr,3.0,3.0,OOS,"[0.40, 0.45)"
38176,6.6,4.91,88.5,39.3,-0.628,-0.628,-1.0,-0.328,-4.24,4.126,-65.31,40.43,4.82,3.47,3.47,-0.115,TP3xATR/SL3xATR,atr,3.0,3.0,OOS,"[0.45, 0.50)"
45619,6.63,4.7,88.66,41.52,-0.436,-0.436,-0.753,-0.136,-4.043,4.08,-49.33,42.96,4.83,3.52,3.43,-0.082,TP3xATR/SL3xATR,atr,3.0,3.0,OOS,"[0.50, 0.55)"
50132,6.71,5.2,88.1,43.48,-0.258,-0.258,-0.471,0.042,-3.802,3.997,-64.03,38.0,4.81,3.58,3.22,-0.051,TP3xATR/SL3xATR,atr,3.0,3.0,OOS,"[0.55, 0.60)"
30057,6.82,5.68,87.5,44.5,-0.167,-0.167,-0.319,0.133,-3.728,4.001,-37.43,42.06,4.8,3.66,3.09,-0.033,TP3xATR/SL3xATR,atr,3.0,3.0,OOS,"[0.60, 0.65)"
10938,8.1,5.32,86.58,46.45,0.234,0.234,-0.276,0.534,-4.134,4.92,-63.44,41.17,4.78,3.64,2.91,0.039,TP3xATR/SL3xATR,atr,3.0,3.0,OOS,"[0.65, 0.70)"
1209,10.01,3.72,86.27,47.39,0.836,0.836,-0.204,1.136,-4.428,6.152,-29.86,40.32,4.79,3.65,2.93,0.116,TP3xATR/SL3xATR,atr,3.0,3.0,OOS,"[0.70, 0.75)"
67,32.84,13.43,53.73,19.4,0.422,0.422,-0.217,0.722,-1.608,2.824,-13.6,21.18,4.34,3.91,2.78,0.086,TP3xATR/SL3xATR,atr,3.0,3.0,OOS,"[0.75, 0.80)"
48865,6.98,0.77,92.25,32.12,-1.828,-1.828,-2.201,-1.528,-6.131,4.691,-59.53,94.57,4.87,3.3,3.4,-0.263,TP3xATR/SL5xATR,atr,3.0,5.0,Full,"[0.30, 0.35)"
103067,6.91,0.95,92.14,35.1,-1.347,-1.347,-1.745,-1.047,-5.578,4.67,-83.95,80.0,4.87,3.39,2.77,-0.203,TP3xATR/SL5xATR,atr,3.0,5.0,Full,"[0.35, 0.40)"
141982,7.29,1.14,91.57,37.93,-0.873,-0.873,-1.314,-0.573,-5.123,4.75,-82.96,416.39,4.86,3.45,2.27,-0.136,TP3xATR/SL5xATR,atr,3.0,5.0,Full,"[0.40, 0.45)"
257220,7.32,1.27,91.42,40.75,-0.549,-0.549,-0.95,-0.249,-4.784,4.75,-82.59,433.9,4.85,3.49,2.11,-0.088,TP3xATR/SL5xATR,atr,3.0,5.0,Full,"[0.45, 0.50)"
322349,7.49,1.23,91.27,43.73,-0.223,-0.223,-0.583,0.077,-4.45,4.72,-98.16,408.06,4.86,3.55,2.12,-0.037,TP3xATR/SL5xATR,atr,3.0,5.0,Full,"[0.50, 0.55)"
355606,8.1,1.77,90.14,46.62,0.125,0.125,-0.3,0.425,-4.127,4.735,-98.2,169.41,4.83,3.57,1.75,0.021,TP3xATR/SL5xATR,atr,3.0,5.0,Full,"[0.55, 0.60)"
203838,8.48,2.41,89.11,49.14,0.418,0.418,-0.093,0.718,-3.983,4.84,-98.17,187.8,4.8,3.62,1.63,0.071,TP3xATR/SL5xATR,atr,3.0,5.0,Full,"[0.60, 0.65)"
66999,9.0,3.14,87.86,53.34,1.152,1.152,0.417,1.452,-4.315,5.99,-72.69,995.48,4.77,3.66,1.46,0.17,TP3xATR/SL5xATR,atr,3.0,5.0,Full,"[0.65, 0.70)"
8054,16.19,2.91,80.9,64.23,3.621,3.621,2.856,3.921,-4.496,8.986,-48.16,142.45,4.73,3.8,2.26,0.414,TP3xATR/SL5xATR,atr,3.0,5.0,Full,"[0.70, 0.75)"
796,43.22,6.16,50.63,60.55,4.318,4.318,5.736,4.618,-3.506,8.557,-22.12,47.06,4.44,3.92,3.43,0.475,TP3xATR/SL5xATR,atr,3.0,5.0,Full,"[0.75, 0.80)"
7708,6.29,0.79,92.92,32.75,-1.348,-1.348,-1.792,-1.048,-5.127,4.202,-42.01,40.78,4.88,3.31,3.26,-0.224,TP3xATR/SL5xATR,atr,3.0,5.0,OOS,"[0.30, 0.35)"
15462,6.29,0.96,92.74,35.7,-1.057,-1.057,-1.416,-0.757,-4.744,4.176,-43.12,40.57,4.87,3.33,2.56,-0.183,TP3xATR/SL5xATR,atr,3.0,5.0,OOS,"[0.35, 0.40)"
21296,6.43,1.0,92.57,37.17,-0.787,-0.787,-1.213,-0.487,-4.422,4.113,-40.71,38.86,4.87,3.4,2.0,-0.143,TP3xATR/SL5xATR,atr,3.0,5.0,OOS,"[0.40, 0.45)"
38176,6.66,0.96,92.39,39.43,-0.592,-0.592,-0.983,-0.292,-4.269,4.132,-66.13,40.43,4.87,3.48,2.05,-0.108,TP3xATR/SL5xATR,atr,3.0,5.0,OOS,"[0.45, 0.50)"
45619,6.67,0.99,92.34,41.62,-0.407,-0.407,-0.74,-0.107,-4.069,4.084,-49.33,42.96,4.87,3.53,2.1,-0.076,TP3xATR/SL5xATR,atr,3.0,5.0,OOS,"[0.50, 0.55)"
50132,6.74,1.42,91.84,43.59,-0.232,-0.232,-0.459,0.068,-3.826,4.0,-64.03,38.0,4.86,3.58,1.81,-0.046,TP3xATR/SL5xATR,atr,3.0,5.0,OOS,"[0.55, 0.60)"
30057,6.87,1.92,91.21,44.63,-0.146,-0.146,-0.301,0.154,-3.756,4.005,-49.34,42.06,4.85,3.66,1.77,-0.029,TP3xATR/SL5xATR,atr,3.0,5.0,OOS,"[0.60, 0.65)"
10938,8.21,2.04,89.75,46.64,0.273,0.273,-0.261,0.573,-4.157,4.929,-63.44,41.17,4.82,3.65,1.51,0.046,TP3xATR/SL5xATR,atr,3.0,5.0,OOS,"[0.65, 0.70)"
1209,10.09,1.9,88.01,47.48,0.829,0.829,-0.204,1.129,-4.47,6.153,-31.22,40.32,4.82,3.65,2.48,0.114,TP3xATR/SL5xATR,atr,3.0,5.0,OOS,"[0.70, 0.75)"
67,32.84,5.97,61.19,19.4,0.43,0.43,-0.217,0.73,-1.677,2.826,-16.62,21.18,4.54,3.91,3.25,0.087,TP3xATR/SL5xATR,atr,3.0,5.0,OOS,"[0.75, 0.80)"
48865,1.67,21.08,77.25,30.69,-1.974,-1.974,-2.481,-1.674,-5.826,4.765,-52.18,94.57,4.62,3.51,3.33,-0.288,TP5xATR/SL2xATR,atr,5.0,2.0,Full,"[0.30, 0.35)"
103067,1.67,18.73,79.6,33.93,-1.463,-1.463,-1.955,-1.163,-5.336,4.761,-79.48,245.78,4.67,3.66,3.36,-0.222,TP5xATR/SL2xATR,atr,5.0,2.0,Full,"[0.35, 0.40)"
141982,1.72,17.03,81.25,36.86,-0.996,-0.996,-1.477,-0.696,-4.928,4.847,-82.96,416.39,4.7,3.73,3.37,-0.153,TP5xATR/SL2xATR,atr,5.0,2.0,Full,"[0.40, 0.45)"
257220,1.66,16.22,82.11,39.76,-0.647,-0.647,-1.084,-0.347,-4.603,4.848,-82.59,433.9,4.71,3.71,3.35,-0.101,TP5xATR/SL2xATR,atr,5.0,2.0,Full,"[0.45, 0.50)"
322349,1.6,15.36,83.04,42.78,-0.32,-0.32,-0.707,-0.02,-4.286,4.814,-98.16,408.06,4.73,3.8,3.34,-0.052,TP5xATR/SL2xATR,atr,5.0,2.0,Full,"[0.50, 0.55)"
355606,1.7,15.26,83.04,45.66,0.025,0.025,-0.3,0.325,-3.979,4.834,-98.2,169.41,4.71,3.82,3.23,0.004,TP5xATR/SL2xATR,atr,5.0,2.0,Full,"[0.55, 0.60)"
203838,1.77,15.29,82.93,48.12,0.326,0.326,-0.202,0.626,-3.839,4.941,-98.17,187.8,4.69,3.86,3.1,0.053,TP5xATR/SL2xATR,atr,5.0,2.0,Full,"[0.60, 0.65)"
66999,1.88,14.62,83.5,52.2,1.022,1.022,0.28,1.322,-4.175,6.106,-72.69,995.48,4.67,3.9,2.89,0.144,TP5xATR/SL2xATR,atr,5.0,2.0,Full,"[0.65, 0.70)"
8054,4.64,12.09,83.26,62.63,3.728,3.728,2.507,4.028,-4.282,9.299,-43.95,142.45,4.7,4.31,2.75,0.393,TP5xATR/SL2xATR,atr,5.0,2.0,Full,"[0.70, 0.75)"
796,18.84,23.62,57.54,54.9,5.465,5.465,3.472,5.765,-2.932,9.478,-22.12,54.81,4.34,4.58,2.56,0.539,TP5xATR/SL2xATR,atr,5.0,2.0,Full,"[0.75, 0.80)"
7708,1.23,18.86,79.9,31.62,-1.478,-1.478,-1.975,-1.178,-4.899,4.232,-28.29,51.27,4.67,3.55,3.37,-0.255,TP5xATR/SL2xATR,atr,5.0,2.0,OOS,"[0.30, 0.35)"
15462,1.38,17.83,80.79,34.58,-1.161,-1.161,-1.576,-0.861,-4.554,4.226,-29.39,48.59,4.69,3.57,3.4,-0.204,TP5xATR/SL2xATR,atr,5.0,2.0,OOS,"[0.35, 0.40)"
21296,1.38,17.06,81.56,36.19,-0.913,-0.913,-1.367,-0.613,-4.287,4.183,-31.49,56.47,4.71,3.65,3.42,-0.165,TP5xATR/SL2xATR,atr,5.0,2.0,OOS,"[0.40, 0.45)"
38176,1.38,16.64,81.98,38.48,-0.694,-0.694,-1.102,-0.394,-4.13,4.203,-29.39,51.61,4.72,3.63,3.42,-0.125,TP5xATR/SL2xATR,atr,5.0,2.0,OOS,"[0.45, 0.50)"
45619,1.28,16.39,82.33,40.61,-0.517,-0.517,-0.865,-0.217,-3.939,4.138,-49.33,57.23,4.72,3.68,3.41,-0.096,TP5xATR/SL2xATR,atr,5.0,2.0,OOS,"[0.50, 0.55)"
50132,1.31,16.35,82.33,42.69,-0.312,-0.312,-0.557,-0.012,-3.704,4.06,-64.03,47.87,4.71,3.78,3.34,-0.06,TP5xATR/SL2xATR,atr,5.0,2.0,OOS,"[0.55, 0.60)"
30057,1.35,16.61,82.04,43.62,-0.224,-0.224,-0.424,0.076,-3.63,4.047,-33.23,48.43,4.7,3.83,3.27,-0.043,TP5xATR/SL2xATR,atr,5.0,2.0,OOS,"[0.60, 0.65)"
10938,1.8,14.84,83.36,45.66,0.19,0.19,-0.3,0.49,-4.038,5.012,-63.44,65.6,4.71,3.8,3.19,0.03,TP5xATR/SL2xATR,atr,5.0,2.0,OOS,"[0.65, 0.70)"
1209,2.81,10.09,87.1,46.57,0.927,0.927,-0.208,1.227,-4.343,6.349,-29.86,47.41,4.79,3.68,3.28,0.119,TP5xATR/SL2xATR,atr,5.0,2.0,OOS,"[0.70, 0.75)"
67,16.42,17.91,65.67,22.39,0.372,0.372,-0.215,0.672,-1.415,2.833,-9.52,21.18,4.33,3.55,2.58,0.083,TP5xATR/SL2xATR,atr,5.0,2.0,OOS,"[0.75, 0.80)"
48865,1.71,6.5,91.79,31.4,-1.95,-1.95,-2.29,-1.65,-6.073,4.83,-59.53,94.57,4.89,3.53,3.64,-0.274,TP5xATR/SL3xATR,atr,5.0,3.0,Full,"[0.30, 0.35)"
103067,1.69,5.84,92.47,34.54,-1.44,-1.44,-1.806,-1.14,-5.535,4.806,-83.95,245.78,4.89,3.66,3.52,-0.211,TP5xATR/SL3xATR,atr,5.0,3.0,Full,"[0.35, 0.40)"
141982,1.74,5.53,92.73,37.42,-0.962,-0.962,-1.368,-0.662,-5.092,4.884,-82.96,416.39,4.89,3.74,3.39,-0.144,TP5xATR/SL3xATR,atr,5.0,3.0,Full,"[0.40, 0.45)"
257220,1.69,5.28,93.03,40.36,-0.6,-0.6,-0.99,-0.3,-4.751,4.885,-82.59,433.9,4.89,3.72,3.33,-0.092,TP5xATR/SL3xATR,atr,5.0,3.0,Full,"[0.45, 0.50)"
322349,1.63,5.06,93.31,43.39,-0.265,-0.265,-0.619,0.035,-4.421,4.848,-98.16,408.06,4.9,3.8,3.34,-0.042,TP5xATR/SL3xATR,atr,5.0,3.0,Full,"[0.50, 0.55)"
355606,1.72,5.45,92.83,46.3,0.093,0.093,-0.3,0.393,-4.101,4.867,-98.2,169.41,4.87,3.83,3.07,0.015,TP5xATR/SL3xATR,atr,5.0,3.0,Full,"[0.55, 0.60)"
203838,1.8,5.93,92.26,48.8,0.401,0.401,-0.132,0.701,-3.956,4.975,-98.17,187.8,4.85,3.86,2.84,0.065,TP5xATR/SL3xATR,atr,5.0,3.0,Full,"[0.60, 0.65)"
66999,1.92,6.24,91.84,53.01,1.154,1.154,0.374,1.454,-4.289,6.155,-72.69,995.48,4.82,3.91,2.53,0.162,TP5xATR/SL3xATR,atr,5.0,3.0,Full,"[0.65, 0.70)"
8054,4.93,5.51,89.56,63.77,3.943,3.943,2.731,4.243,-4.419,9.446,-43.95,142.45,4.84,4.34,2.69,0.414,TP5xATR/SL3xATR,atr,5.0,3.0,Full,"[0.70, 0.75)"
796,20.23,13.94,65.83,58.17,5.74,5.74,4.114,6.04,-3.271,9.929,-22.12,54.81,4.66,4.59,3.14,0.549,TP5xATR/SL3xATR,atr,5.0,3.0,Full,"[0.75, 0.80)"
7708,1.26,5.16,93.58,32.17,-1.455,-1.455,-1.846,-1.155,-5.066,4.276,-28.29,51.27,4.91,3.58,3.57,-0.243,TP5xATR/SL3xATR,atr,5.0,3.0,OOS,"[0.30, 0.35)"
15462,1.4,5.04,93.56,35.11,-1.143,-1.143,-1.46,-0.843,-4.707,4.261,-35.25,48.59,4.9,3.58,3.5,-0.196,TP5xATR/SL3xATR,atr,5.0,3.0,OOS,"[0.35, 0.40)"
21296,1.4,5.01,93.59,36.65,-0.885,-0.885,-1.27,-0.585,-4.412,4.207,-33.87,56.47,4.9,3.65,3.42,-0.156,TP5xATR/SL3xATR,atr,5.0,3.0,OOS,"[0.40, 0.45)"
38176,1.39,4.94,93.67,38.99,-0.653,-0.653,-1.018,-0.353,-4.251,4.233,-65.31,51.61,4.91,3.63,3.48,-0.116,TP5xATR/SL3xATR,atr,5.0,3.0,OOS,"[0.45, 0.50)"
45619,1.3,4.74,93.96,41.26,-0.461,-0.461,-0.772,-0.161,-4.054,4.169,-49.33,57.23,4.91,3.69,3.44,-0.084,TP5xATR/SL3xATR,atr,5.0,3.0,OOS,"[0.50, 0.55)"
50132,1.33,5.23,93.44,43.29,-0.261,-0.261,-0.486,0.039,-3.81,4.088,-64.03,47.87,4.89,3.79,3.23,-0.05,TP5xATR/SL3xATR,atr,5.0,3.0,OOS,"[0.55, 0.60)"
30057,1.38,5.71,92.92,44.29,-0.157,-0.157,-0.336,0.143,-3.735,4.079,-37.43,48.43,4.87,3.84,3.09,-0.03,TP5xATR/SL3xATR,atr,5.0,3.0,OOS,"[0.60, 0.65)"
10938,1.84,5.34,92.82,46.32,0.286,0.286,-0.3,0.586,-4.14,5.055,-63.44,65.6,4.87,3.81,2.91,0.045,TP5xATR/SL3xATR,atr,5.0,3.0,OOS,"[0.65, 0.70)"
1209,2.89,3.8,93.3,46.98,0.977,0.977,-0.206,1.277,-4.434,6.365,-29.86,47.41,4.88,3.66,2.98,0.125,TP5xATR/SL3xATR,atr,5.0,3.0,OOS,"[0.70, 0.75)"
67,17.91,13.43,68.66,23.88,0.465,0.465,-0.214,0.765,-1.608,3.049,-13.6,21.18,4.46,3.67,2.78,0.091,TP5xATR/SL3xATR,atr,5.0,3.0,OOS,"[0.75, 0.80)"
48865,1.73,0.77,97.5,31.64,-1.882,-1.882,-2.229,-1.582,-6.146,4.847,-59.53,94.57,4.96,3.54,3.4,-0.263,TP5xATR/SL5xATR,atr,5.0,5.0,Full,"[0.30, 0.35)"
103067,1.71,0.95,97.33,34.72,-1.377,-1.377,-1.768,-1.077,-5.59,4.821,-83.95,245.78,4.96,3.67,2.78,-0.202,TP5xATR/SL5xATR,atr,5.0,5.0,Full,"[0.35, 0.40)"
141982,1.75,1.15,97.1,37.6,-0.892,-0.892,-1.336,-0.592,-5.136,4.894,-82.96,416.39,4.95,3.74,2.28,-0.134,TP5xATR/SL5xATR,atr,5.0,5.0,Full,"[0.40, 0.45)"
257220,1.7,1.27,97.03,40.5,-0.547,-0.547,-0.968,-0.247,-4.793,4.893,-82.59,433.9,4.94,3.72,2.12,-0.084,TP5xATR/SL5xATR,atr,5.0,5.0,Full,"[0.45, 0.50)"
322349,1.64,1.24,97.13,43.51,-0.215,-0.215,-0.602,0.085,-4.458,4.855,-98.16,408.06,4.94,3.8,2.13,-0.034,TP5xATR/SL5xATR,atr,5.0,5.0,Full,"[0.50, 0.55)"
355606,1.73,1.77,96.5,46.43,0.143,0.143,-0.3,0.443,-4.135,4.873,-98.2,169.41,4.92,3.83,1.76,0.023,TP5xATR/SL5xATR,atr,5.0,5.0,Full,"[0.55, 0.60)"
203838,1.81,2.42,95.77,48.95,0.45,0.45,-0.114,0.75,-3.99,4.981,-98.17,187.8,4.9,3.86,1.64,0.073,TP5xATR/SL5xATR,atr,5.0,5.0,Full,"[0.60, 0.65)"
66999,1.95,3.15,94.9,53.17,1.209,1.209,0.392,1.509,-4.322,6.164,-72.69,995.48,4.87,3.91,1.46,0.17,TP5xATR/SL5xATR,atr,5.0,5.0,Full,"[0.65, 0.70)"
8054,4.97,2.92,92.12,63.93,3.935,3.935,2.758,4.235,-4.506,9.466,-48.16,142.45,4.89,4.33,2.28,0.41,TP5xATR/SL5xATR,atr,5.0,5.0,Full,"[0.70, 0.75)"
796,20.73,6.16,73.12,59.05,5.689,5.689,4.699,5.989,-3.561,10.027,-22.12,54.81,4.81,4.56,3.43,0.527,TP5xATR/SL5xATR,atr,5.0,5.0,Full,"[0.75, 0.80)"
7708,1.31,0.79,97.9,32.36,-1.426,-1.426,-1.81,-1.126,-5.135,4.292,-42.01,51.27,4.97,3.63,3.26,-0.234,TP5xATR/SL5xATR,atr,5.0,5.0,OOS,"[0.30, 0.35)"
15462,1.44,0.98,97.58,35.29,-1.111,-1.111,-1.437,-0.811,-4.761,4.275,-43.12,48.59,4.96,3.61,2.56,-0.187,TP5xATR/SL5xATR,atr,5.0,5.0,OOS,"[0.35, 0.40)"
21296,1.42,1.01,97.57,36.79,-0.836,-0.836,-1.236,-0.536,-4.442,4.217,-40.71,56.47,4.95,3.67,2.03,-0.148,TP5xATR/SL5xATR,atr,5.0,5.0,OOS,"[0.40, 0.45)"
38176,1.41,0.97,97.63,39.1,-0.617,-0.617,-1.003,-0.317,-4.281,4.24,-66.13,51.61,4.95,3.64,2.07,-0.109,TP5xATR/SL5xATR,atr,5.0,5.0,OOS,"[0.45, 0.50)"
45619,1.31,1.0,97.69,41.35,-0.433,-0.433,-0.759,-0.133,-4.08,4.173,-49.33,57.23,4.95,3.7,2.13,-0.079,TP5xATR/SL5xATR,atr,5.0,5.0,OOS,"[0.50, 0.55)"
50132,1.34,1.43,97.23,43.4,-0.233,-0.233,-0.471,0.067,-3.834,4.092,-64.03,47.87,4.94,3.79,1.81,-0.044,TP5xATR/SL5xATR,atr,5.0,5.0,OOS,"[0.55, 0.60)"
30057,1.4,1.92,96.68,44.42,-0.135,-0.135,-0.32,0.165,-3.764,4.083,-49.34,48.43,4.92,3.83,1.77,-0.026,TP5xATR/SL5xATR,atr,5.0,5.0,OOS,"[0.60, 0.65)"
10938,1.88,2.05,96.07,46.47,0.323,0.323,-0.273,0.623,-4.164,5.065,-63.44,65.6,4.91,3.82,1.51,0.051,TP5xATR/SL5xATR,atr,5.0,5.0,OOS,"[0.65, 0.70)"
1209,2.98,1.99,95.04,47.06,0.974,0.974,-0.206,1.274,-4.477,6.365,-31.22,47.41,4.91,3.64,2.58,0.124,TP5xATR/SL5xATR,atr,5.0,5.0,OOS,"[0.70, 0.75)"
67,17.91,5.97,76.12,23.88,0.472,0.472,-0.214,0.772,-1.677,3.05,-16.62,21.18,4.66,3.67,3.25,0.092,TP5xATR/SL5xATR,atr,5.0,5.0,OOS,"[0.75, 0.80)"
48865,0.17,21.11,78.73,30.62,-2.003,-2.003,-2.485,-1.703,-5.828,4.817,-52.18,94.57,4.65,4.04,3.33,-0.29,TP10xATR/SL2xATR,atr,10.0,2.0,Full,"[0.30, 0.35)"
103067,0.1,18.74,81.15,33.87,-1.488,-1.488,-1.959,-1.188,-5.337,4.806,-79.48,245.78,4.69,3.99,3.36,-0.224,TP10xATR/SL2xATR,atr,10.0,2.0,Full,"[0.35, 0.40)"
141982,0.12,17.04,82.83,36.83,-1.009,-1.009,-1.48,-0.709,-4.928,4.894,-82.96,416.39,4.72,4.05,3.37,-0.154,TP10xATR/SL2xATR,atr,10.0,2.0,Full,"[0.40, 0.45)"
257220,0.11,16.23,83.66,39.73,-0.658,-0.658,-1.087,-0.358,-4.604,4.89,-82.59,433.9,4.73,3.97,3.35,-0.102,TP10xATR/SL2xATR,atr,10.0,2.0,Full,"[0.45, 0.50)"
322349,0.11,15.36,84.53,42.76,-0.323,-0.323,-0.708,-0.023,-4.287,4.854,-98.16,408.06,4.74,4.06,3.34,-0.052,TP10xATR/SL2xATR,atr,10.0,2.0,Full,"[0.50, 0.55)"
355606,0.11,15.26,84.62,45.63,0.026,0.026,-0.3,0.326,-3.98,4.872,-98.2,226.97,4.73,3.98,3.23,0.004,TP10xATR/SL2xATR,atr,10.0,2.0,Full,"[0.55, 0.60)"
203838,0.14,15.3,84.56,48.07,0.328,0.328,-0.205,0.628,-3.839,4.977,-98.17,287.14,4.71,3.65,3.1,0.053,TP10xATR/SL2xATR,atr,10.0,2.0,Full,"[0.60, 0.65)"
66999,0.15,14.63,85.22,52.13,1.034,1.034,0.276,1.334,-4.175,6.147,-72.69,995.48,4.69,3.69,2.89,0.143,TP10xATR/SL2xATR,atr,10.0,2.0,Full,"[0.65, 0.70)"
8054,0.36,12.09,87.55,62.53,3.785,3.785,2.489,4.085,-4.283,9.388,-43.95,162.62,4.72,3.31,2.75,0.391,TP10xATR/SL2xATR,atr,10.0,2.0,Full,"[0.70, 0.75)"
796,1.76,23.62,74.62,54.9,5.797,5.797,3.402,6.097,-2.933,9.668,-22.12,54.81,4.39,3.29,2.56,0.544,TP10xATR/SL2xATR,atr,10.0,2.0,Full,"[0.75, 0.80)"
7708,0.16,18.86,80.98,31.56,-1.5,-1.5,-1.975,-1.2,-4.9,4.273,-28.29,70.78,4.69,3.92,3.37,-0.256,TP10xATR/SL2xATR,atr,10.0,2.0,OOS,"[0.30, 0.35)"
15462,0.09,17.84,82.07,34.54,-1.178,-1.178,-1.577,-0.878,-4.556,4.257,-29.39,60.19,4.71,3.93,3.4,-0.206,TP10xATR/SL2xATR,atr,10.0,2.0,OOS,"[0.35, 0.40)"
21296,0.08,17.08,82.83,36.15,-0.939,-0.939,-1.369,-0.639,-4.288,4.21,-31.49,81.24,4.73,3.78,3.42,-0.17,TP10xATR/SL2xATR,atr,10.0,2.0,OOS,"[0.40, 0.45)"
38176,0.08,16.66,83.26,38.44,-0.718,-0.718,-1.104,-0.418,-4.131,4.229,-29.39,64.7,4.74,3.75,3.42,-0.129,TP10xATR/SL2xATR,atr,10.0,2.0,OOS,"[0.45, 0.50)"
45619,0.06,16.4,83.54,40.6,-0.538,-0.538,-0.866,-0.238,-3.94,4.159,-49.33,71.49,4.74,3.93,3.41,-0.1,TP10xATR/SL2xATR,atr,10.0,2.0,OOS,"[0.50, 0.55)"
50132,0.09,16.36,83.55,42.68,-0.318,-0.318,-0.559,-0.018,-3.704,4.083,-64.03,81.6,4.73,4.02,3.34,-0.061,TP10xATR/SL2xATR,atr,10.0,2.0,OOS,"[0.55, 0.60)"
30057,0.14,16.63,83.23,43.57,-0.241,-0.241,-0.427,0.059,-3.632,4.063,-33.23,64.29,4.71,3.39,3.28,-0.047,TP10xATR/SL2xATR,atr,10.0,2.0,OOS,"[0.60, 0.65)"
10938,0.07,14.86,85.07,45.55,0.163,0.163,-0.3,0.463,-4.039,5.036,-63.44,81.6,4.73,3.75,3.19,0.026,TP10xATR/SL2xATR,atr,10.0,2.0,OOS,"[0.65, 0.70)"
1209,0.17,10.09,89.74,46.48,0.926,0.926,-0.211,1.226,-4.344,6.451,-29.86,65.22,4.82,3.5,3.28,0.117,TP10xATR/SL2xATR,atr,10.0,2.0,OOS,"[0.70, 0.75)"
67,8.96,17.91,73.13,22.39,0.529,0.529,-0.218,0.829,-1.415,2.947,-9.52,21.18,4.43,3.5,2.58,0.106,TP10xATR/SL2xATR,atr,10.0,2.0,OOS,"[0.75, 0.80)"
48865,0.17,6.5,93.32,31.33,-1.979,-1.979,-2.294,-1.679,-6.076,4.883,-59.53,94.57,4.91,4.05,3.64,-0.275,TP10xATR/SL3xATR,atr,10.0,3.0,Full,"[0.30, 0.35)"
103067,0.1,5.84,94.05,34.48,-1.465,-1.465,-1.809,-1.165,-5.537,4.852,-83.95,245.78,4.91,3.99,3.52,-0.214,TP10xATR/SL3xATR,atr,10.0,3.0,Full,"[0.35, 0.40)"
141982,0.12,5.53,94.34,37.38,-0.976,-0.976,-1.37,-0.676,-5.093,4.932,-82.96,416.39,4.91,4.05,3.39,-0.145,TP10xATR/SL3xATR,atr,10.0,3.0,Full,"[0.40, 0.45)"
257220,0.11,5.28,94.61,40.33,-0.611,-0.611,-0.992,-0.311,-4.752,4.928,-82.59,433.9,4.91,3.97,3.33,-0.093,TP10xATR/SL3xATR,atr,10.0,3.0,Full,"[0.45, 0.50)"
322349,0.11,5.06,94.82,43.36,-0.268,-0.268,-0.621,0.032,-4.421,4.888,-98.16,408.06,4.91,4.07,3.34,-0.042,TP10xATR/SL3xATR,atr,10.0,3.0,Full,"[0.50, 0.55)"
355606,0.11,5.46,94.43,46.27,0.094,0.094,-0.3,0.394,-4.102,4.905,-98.2,226.97,4.89,3.99,3.07,0.015,TP10xATR/SL3xATR,atr,10.0,3.0,Full,"[0.55, 0.60)"
